Rank,Country,Population,GDP_Rank,GDP_USD_millions,GDP_USD_billions,Life_Expectancy,Life_Expectancy_Male,Life_Expectancy_Female,GDP_per_Capita,Log_Population,Log_GDP,Log_GDP_per_Capita,Population_Category,GDP_Category,Development_Level,Life_Expectancy_Gender_Gap,Wealth_Score
89,Portugal,10749635.0,47.0,337936.0,337.936,81.3,78.3,84.1,31436.974371687968,16.190382451499552,12.730614766559738,10.35577181608612,Large,High,Developed,5.799999999999997,0.0004727887535119715
90,Sweden,10608003.0,26.0,662318.0,662.318,83.0,81.2,84.7,62435.69124179169,16.177119368481616,13.403502591967364,11.0419083822226,Large,Very High,Developed,3.5,0.0009375662481971813
91,Tajikistan,10499000.0,141.0,17032.0,17.032,71.1,68.9,73.4,1622.2497380702923,16.16679066774424,9.742907917860578,7.392185430027297,Large,Medium,Developing,4.5,2.1260876268093954e-05
92,Greece,10372335.0,53.0,282019.0,282.019,82.0,79.5,84.4,27189.53832478415,16.15465282002536,12.54973326939122,10.210624336061793,Large,High,Developed,4.900000000000006,0.0004033099050077928
93,Azerbaijan,10259701.0,88.0,76390.0,76.39,73.0,70.5,75.7,7445.636086275808,16.14373435245078,11.243620167168404,8.9155176773588,Large,High,Emerging,5.200000000000003,0.00010777518809997962
94,Papua New Guinea,10185363.0,113.0,32714.0,32.714,64.5,63.2,65.9,3211.8639266955925,16.13646234583604,10.395588967303839,8.074918007361767,Large,Medium,Developing,2.700000000000003,4.461352794941833e-05
95,Israel,10178000.0,27.0,610752.0,610.752,83.0,81.2,84.8,60007.07408135194,16.13573918438204,13.322447901101373,11.002234400173306,Large,Very High,Developed,3.5999999999999943,0.0008879400282828453
96,Honduras,9892632.0,106.0,39445.0,39.445,75.3,72.5,78.2,3987.3109603187504,16.107300896680023,10.582687926963448,8.291123102043608,Large,Medium,Developing,5.700000000000003,5.554112655472959e-05
97,Cuba,9748007.0,,,,79.0,76.9,81.2,,16.092573514408063,,,Large,,,4.299999999999997,
98,Hungary,9489000.0,57.0,247759.0,247.759,76.0,72.9,79.1,26110.12751607124,16.065643896341072,12.420215814647085,10.170116844064948,Large,High,Developed,6.199999999999989,0.0003755233177434559
99,Austria,9216459.0,30.0,566456.0,566.456,81.7,79.2,84.0,61461.34865895894,16.036501573866634,13.247156451891446,11.026180049385806,Large,Very High,Developed,4.799999999999997,0.0008796761282840759
100,Belarus,9109280.0,83.0,85739.0,85.739,,,,9412.269685419704,16.024804341862403,11.359074740151968,9.149875641452297,Large,High,Emerging,,0.00013158773530326336
101,Switzerland,9104063.0,21.0,1002666.0,1002.666,83.8,81.8,85.7,110133.90395035711,16.02423146520052,13.81817400783051,11.60946129290962,Large,Very High,Developed,3.9000000000000057,0.0015725038915018288
102,Sierra Leone,9077691.0,164.0,8639.0,8.639,54.7,53.4,56.1,951.6737240780723,16.02133053324496,9.064157861798101,6.859272477853821,Large,Low,Developing,2.700000000000003,1.051151021295094e-05
103,Togo,8095498.0,158.0,10951.0,10.951,61.0,59.5,62.6,1352.7271577363122,15.906818786183521,9.301277366968284,7.210616924847867,Large,Low,Developing,3.1000000000000014,1.5572433104163098e-05
